,,,,,,,,,,PAGE: 1,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
,"Rate Per 100,000",,4.8,19.2,124.9,144.2,413.5,716.4,115.4,1538.6,0
,Number of Clearances,,1,2,6,5,1,9,3,27,0
,Percent Cleared,,100,50,99,56,3,21,50,31,0
,Number of Arrests,,1,1,13,25,6,20,1,67,0
NJ0012100,SOMERS POINT PD,10436,,,,,,,,,
,Number of Offenses,,0,2,2,7,22,229,9,271,12
,"Rate Per 100,000",,0,19.2,19.2,67.1,210.8,2194.3,86.2,2596.8,0
,Number of Clearances,,0,1,1,1,2,51,5,61,0
,Percent Cleared,,0,100,100,100,114,86,125,89,0
,Number of Arrests,,0,1,2,9,3,56,6,77,0
NJ0012400,STOCKTON UNIVERSITY,0,,,,,,,,,
,Number of Offenses,,0,1,0,1,1,42,0,45,11
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,1,0,1,1,0,0,3,0
,Percent Cleared,,0,100,0,100,100,0,0,30,0
,Number of Arrests,,0,0,0,1,1,0,0,2,0
NJ0012200,VENTNOR PD,10182,,,,,,,,,
,Number of Offenses,,0,4,2,9,66,282,16,379,12
,"Rate Per 100,000",,0,39.2,19.6,88.4,648.2,2769.6,157.2,3722.2,0
,Number of Clearances,,0,0,1,6,6,68,4,85,0
,Percent Cleared,,0,0,50,300,36,108,107,94,0
,Number of Arrests,,0,0,2,7,5,82,6,102,0
,County Totals - Atlantic County,,,,,,,,,,
,Population,253906,,,,,,,,,
,Number of Offenses,,11,36,256,316,760,4176,250,5805,0
,"Rate Per 100,000",,4.4,14.5,102.2,127.8,305.8,1687.3,100,2342,0
,Number of Clearances,,6,7,33,141,75,667,34,963,0
,Percent Cleared,,217,83,57,181,41,67,57,69,0
,Number of Arrests,,5,12,72,166,151,810,25,1241,0
