CURRENT DATE: 10/18/2019,INDEX CRIMES BY COUNTY FOR JUL - 2019 TO SEP - 2019,,,,,,,,,PAGE: 8,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,"Rate Per 100,000",,0,0,23,23,138,483,11.5,678.5,0
,Number of Clearances,,0,0,1,2,4,6,0,13,0
,Percent Cleared,,0,0,100,200,150,50,0,81,0
,Number of Arrests,,0,0,1,2,3,2,0,8,0
NJ0082600,ROWAN UNIVERSITY OF NJ,0,,,,,,,,,
,Number of Offenses,,0,2,1,3,11,78,2,97,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,2,1,1,3,15,1,23,0
,Percent Cleared,,0,200,100,100,66,80,100,97,0
,Number of Arrests,,0,0,0,1,4,13,1,19,0
NJ0081600,SOUTH HARRISON PD,3118,,,,,,,,,
,Number of Offenses,,0,0,0,1,1,11,1,14,12
,"Rate Per 100,000",,0,0,0,32.1,32.1,352.7,32.1,449,0
,Number of Clearances,,0,0,0,1,0,1,0,2,0
,Percent Cleared,,0,0,0,100,0,17,0,39,0
,Number of Arrests,,0,0,0,1,0,1,0,2,0
NJ0081700,SWEDESBORO PD,2557,,,,,,,,,
,Number of Offenses,,0,0,1,0,2,26,1,30,10
,"Rate Per 100,000",,0,0,0,0,78.2,1016.9,39.1,1134.2,0
,Number of Clearances,,0,0,0,0,0,2,1,3,0
,Percent Cleared,,0,0,0,0,0,27,100,34,0
,Number of Arrests,,0,1,4,0,1,2,0,8,0
NJ0081800,WASHINGTON TWP PD,47024,,,,,,,,,
,Number of Offenses,,0,2,3,42,66,387,11,511,12
,"Rate Per 100,000",,0,4.2,6.3,89.4,214.3,1007.8,23.4,1345.6,0
,Number of Clearances,,0,2,2,37,13,184,1,239,0
,Percent Cleared,,0,200,200,261,159,145,20,171,0
,Number of Arrests,,0,5,2,18,14,134,3,176,0
NJ0081900,WENONAH PD,2201,,,,,,,,,
,Number of Offenses,,0,0,0,26,32,172,7,237,12
,"Rate Per 100,000",,0,0,0,98.6,284.6,842.2,14.9,1240.2,0
,Number of Clearances,,0,0,0,21,4,67,1,93,0
,Percent Cleared,,0,0,0,180,15,42,14,67,0
,Number of Arrests,,0,0,0,4,3,59,0,66,0
NJ0082000,WEST DEPTFORD TWP PD,20889,,,,,,,,,
,Number of Offenses,,0,0,5,3,33,118,17,176,10
,"Rate Per 100,000",,0,0,24,14.4,157.9,1215.1,81.4,1492.8,0
,Number of Clearances,,0,0,1,3,7,27,3,41,0
,Percent Cleared,,0,0,50,200,42,83,30,76,0
,Number of Arrests,,0,1,2,6,10,26,1,46,0
NJ0082100,WESTVILLE PD,4121,,,,,,,,,
,Number of Offenses,,0,2,2,9,34,107,7,161,12
,"Rate Per 100,000",,0,29.1,29.1,160,630.3,1875.7,150.4,2874.4,0
,Number of Clearances,,0,2,2,6,2,13,0,25,0
,Percent Cleared,,0,200,200,200,23,42,0,59,0
,Number of Arrests,,0,3,2,7,4,12,1,29,0
NJ0082200,WOODBURY CITY PD,9746,,,,,,,,,
,Number of Offenses,,0,1,2,13,43,180,11,250,12
,"Rate Per 100,000",,0,10.3,20.5,147.5,511.2,2042.9,126.9,2859.2,0
,Number of Clearances,,0,1,2,13,6,39,4,65,0
,Percent Cleared,,0,100,100,400,37,69,123,89,0
,Number of Arrests,,0,4,3,13,12,41,5,78,0
NJ0082300,WOODBURY HEIGHTS PD,2944,,,,,,,,,
,Number of Offenses,,0,0,2,11,13,103,6,135,12
